"number","incident_state","active","reassignment_count","reopen_count","sys_mod_count","made_sla","caller_id","opened_by","opened_at","sys_created_by","sys_created_at","sys_updated_by","updated_at","contact_type","location","category","subcategory","u_symptom","cmdb_ci","impact","urgency","priority","assignment_group","assigned_to","knowledge","u_priority_confirmation","notify","problem_id","rfc","vendor","caused_by","closed_code","resolved_by","resolved_at","closed_at","duration","created_at_stc","updated_at_stc","opened_at_stc","resolved_at_stc","closed_at_stc","elapsed_stc","remaining_stc","sojourn_set_stc","sojourn_mset_stc","sojourn_seq_stc","seq_state_id","set_state_id","mset_state_id"
"INC0000083","New","True",0,0,0,"True","Caller 4480","Opener 56","2016-02-29 08:39:00","Creator 52","2016-02-29 08:56:00","Updater 226","2016-02-29 08:56:00","Phone","Location 73","Notebook","Not apply","System failure","","3 - Low","3 - Low","4 - Low","Group 66","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-02-29 16:05:00","2016-03-05 17:00:00",462060,1456746960,1456746960,1456745940,1456772700,1457208000,1020,461040,0,0,0,0,0,0
"INC0000083","New","True",1,0,1,"True","Caller 4480","Opener 56","2016-02-29 08:39:00","Creator 52","2016-02-29 08:56:00","Updater 633","2016-02-29 09:19:00","Phone","Location 73","Notebook","Not apply","System failure","","3 - Low","3 - Low","4 - Low","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-02-29 16:05:00","2016-03-05 17:00:00",462060,1456746960,1456748340,1456745940,1456772700,1457208000,2400,459660,0,0,0,0,0,0
"INC0000083","New","True",1,0,2,"True","Caller 4480","Opener 56","2016-02-29 08:39:00","Creator 52","2016-02-29 08:56:00","Updater 390","2016-02-29 10:06:00","Phone","Location 73","Notebook","Not apply","System failure","","3 - Low","3 - Low","4 - Low","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-02-29 16:05:00","2016-03-05 17:00:00",462060,1456746960,1456751160,1456745940,1456772700,1457208000,5220,456840,0,0,0,0,0,0
"INC0000083","Resolved","True",1,0,3,"True","Caller 4480","Opener 56","2016-02-29 08:39:00","Creator 52","2016-02-29 08:56:00","Updater 207","2016-02-29 16:05:00","Phone","Location 73","Notebook","Not apply","System failure","","3 - Low","3 - Low","4 - Low","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-02-29 16:05:00","2016-03-05 17:00:00",462060,1456746960,1456772700,1456745940,1456772700,1457208000,26760,435300,0,0,0,0,0,0
"INC0000083","Closed","False",1,0,4,"True","Caller 4480","Opener 56","2016-02-29 08:39:00","Creator 52","2016-02-29 08:56:00","Updater 770","2016-03-05 17:00:00","Phone","Location 73","Notebook","Not apply","System failure","","3 - Low","3 - Low","4 - Low","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-02-29 16:05:00","2016-03-05 17:00:00",462060,1456746960,1457208000,1456745940,1456772700,1457208000,462060,0,0,0,0,0,0,0
"INC0000086","New","True",0,0,0,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 52","2016-02-29 08:49:00","Phone","Location 73","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456746540,1456746180,1456857900,1457290800,360,544260,0,0,0,0,0,0
"INC0000086","New","True",0,0,1,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 52","2016-02-29 08:49:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456746540,1456746180,1456857900,1457290800,360,544260,0,0,0,0,0,0
"INC0000086","New","True",0,0,2,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 52","2016-02-29 08:50:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456746600,1456746180,1456857900,1457290800,420,544200,0,0,0,0,0,0
"INC0000086","New","True",0,0,3,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 52","2016-02-29 08:53:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 66","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456746780,1456746180,1456857900,1457290800,600,544020,0,0,0,0,0,0
"INC0000086","New","True",1,0,4,"True","Caller 2222","Opener 13","2016-02-29 08:43:00","Creator 10","2016-02-29 08:49:00","Updater 52","2016-02-29 08:54:00","Phone","Location 78","Notebook","Not apply","No connection","","2 - Medium","2 - Medium","3 - Moderate","Group 22","","True","False","Do Not Notify","PRB0040025","","","","Solved (Work Around)","Resolver 57","2016-03-01 15:45:00","2016-03-06 16:00:00",544620,1456746540,1456746840,1456746180,1456857900,1457290800,660,543960,0,0,0,0,0,0
